Name,DLdown,DLup,ULdown,ULup,BWmax,Mode
1,2110000,2170000,1920000,1980000,20,FDD
2,1930000,1990000,1850000,1910000,20,FDD
3,1805000,1880000,1710000,1785000,20,FDD
4,2110000,2155000,1710000,1755000,20,FDD
5,869000,894000,824000,849000,10,FDD
7,2620000,2690000,2500000,2570000,20,FDD
8,925000,960000,880000,915000,10,FDD
9,1844900,1879900,1749900,1784900,20,FDD
10,2110000,2170000,1710000,1770000,20,FDD
11,14759000,1495900,1427900,1447900,10,FDD
12,729000,746000,699000,716000,10,FDD
13,746000,756000,777000,787000,10,FDD
14,758000,768000,788000,798000,10,FDD
17,734000,746000,704000,716000,10,FDD
18,860000,875000,815000,830000,15,FDD
19,875000,890000,830000,845000,15,FDD
20,791000,821000,832000,862000,20,FDD
21,1495900,1510900,1447900,1462900,15,FDD
22,3510000,3590000,3410000,3490000,20,FDD
24,1525000,1559000,1626500,1660500,10,FDD
25,1930000,1995000,1850000,1915000,20,FDD
26,859000,894000,814000,849000,15,FDD
27,852000,869000,807000,824000,10,FDD
28,758000,803000,703000,748000,20,FDD
29,717000,728000,,,10,SDL
30,2350000,2360000,2305000,2315000,10,FDD
31,462500,467500,452500,457500,5,FDD
32,1452000,1496000,,,20,SDL
33,1900000,1920000,,,20,TDD
34,2010000,2025000,,,15,TDD
35,1850000,1910000,,,20,TDD
36,1930000,1990000,,,20,TDD
37,1910000,1930000,,,20,TDD
38,2570000,2620000,,,20,TDD
39,1880000,1920000,,,20,TDD
40,2300000,2400000,,,20,TDD
41,2496000,2690000,,,20,TDD
42,3400000,3600000,,,20,TDD
43,3600000,3800000,,,20,TDD
44,703000,803000,,,20,TDD
45,1447000,1467000,,,20,TDD
46,5150000,5925000,,,20,TDD
47,5855000,5925000,,,20,TDD
48,3550000,3700000,,,20,TDD
49,3550000,3700000,,,20,TDD
50,1432000,1517000,,,20,TDD
51,1427000,1432000,,,5,TDD
52,3300000,3400000,,,20,TDD
53,2483500,2495000,,,10,TDD
54,1670000,1675000,,,5,TDD
65,2110000,2200000,1920000,2010000,20,FDD
66,2110000,2200000,1710000,1780000,20,FDD
67,738000,758000,,,20,SDL
68,753000,783000,698000,728000,10,FDD
69,2570000,2620000,,,20,SDL
70,1995000,2020000,1695000,1710000,20,FDD
71,617000,652000,663000,698000,20,FDD
72,461000,466000,451000,456000,5,FDD
73,460000,465000,450000,455000,5,FDD
74,1475000,1518000,1427000,1470000,20,FDD
75,1432000,1517000,,,20,SDL
76,1427000,1432000,,,20,SDL
85,728000,746000,698000,716000,10,FDD
87,420000,425000,410000,415000,5,FDD
88,422000,427000,412000,417000,5,FDD
103,757000,758000,787000,788000,1.4,FDD
106,935000,940000,896000,901000,3,FDD
n1,2110000,2170000,1920000,1980000,50,FDD
n2,1930000,1990000,1850000,1910000,40,FDD
n3,1805000,1880000,1710000,1785000,50,FDD
n5,869000,894000,824000,849000,25,FDD
n7,2620000,2690000,2500000,2570000,50,FDD
n8,925000,960000,880000,915000,35,FDD
n12,729000,746000,699000,716000,15,FDD
n13,746000,756000,777000,787000,10,FDD
n14,758000,768000,788000,798000,10,FDD
n18,860000,875000,815000,830000,15,FDD
n20,791000,821000,832000,862000,20,FDD
n24,1525000,1539000,1626500,1660500,10,FDD
n25,1930000,1995000,1850000,1915000,45,FDD
n26,859000,894000,814000,849000,30,FDD
n28,758000,803000,703000,748000,40,FDD
n29,717000,728000,,,10,SDL
n30,2350000,2360000,2305000,2315000,10,FDD
n34,2010000,2025000,,,15,TDD
n38,2570000,2620000,,,40,TDD
n39,1880000,1920000,,,40,TDD
n40,2300000,2400000,,,100,TDD
n41,2496000,2690000,,,100,TDD
n46,5150000,5925000,,,100,TDD
n47,5855000,5925000,,,40,TDD
n48,3550000,3700000,,,100,TDD
n50,1432000,1517000,,,80,TDD
n51,1427000,1432000,,,5,TDD
n53,2483500,2495000,,,10,TDD
n54,1670000,1675000,,,5,TDD
n65,2110000,2200000,1920000,2010000,50,FDD
n66,2110000,2200000,1710000,1780000,45,FDD
n67,738000,758000,,,20,SDL
n70,1995000,2020000,1695000,1710000,25,FDD
n71,617000,652000,663000,698000,35,FDD
n74,1475000,1518000,1427000,1470000,20,FDD
n75,1432000,1517000,,,50,SDL
n76,1427000,1432000,,,5,SDL
n77,3300000,4200000,,,100,TDD
n78,3300000,3800000,,,100,TDD
n79,4400000,5000000,,,100,TDD
n80,,,1710000,1785000,40,SUL
n81,,,880000,915000,20,SUL
n82,,,832000,862000,20,SUL
n83,,,703000,748000,40,SUL
n84,,,1920000,1980000,50,SUL
n85,728000,746000,698000,716000,15,FDD
n86,,,1710000,1780000,40,SUL
n89,,,824000,849000,20,SUL
n90,2496000,2690000,,,100,TDD
n91,1427000,1432000,832000,862000,10,FDD
n92,1432000,1517000,832000,862000,20,FDD
n93,1427000,1432000,880000,915000,10,FDD
n94,1432000,1517000,860000,915000,20,FDD
n95,,,2010000,2025000,15,SUL
n96,5925000,7125000,,,100,TDD
n97,,,2300000,2400000,100,SUL
n98,,,1880000,1920000,40,SUL
n99,,,1626500,1660500,10,SUL
n100,919400,925000,874400,880000,5,FDD
n101,1900000,1910000,,,10,TDD
n102,5925000,6425000,,,100,TDD
n104,6425000,7125000,,,100,TDD
n105,612000,652000,663000,703000,35,FDD
n255,1525000,1559000,1626500,1660500,20,FDD
n256,2170000,2200000,1980000,2010000,20,FDD
n257,26500000,29500000,,,400,TDD
n258,24250100,27500000,,,400,TDD
n259,39500000,43500000,,,400,TDD
n260,37000000,40000000,,,400,TDD
n261,27500000,28350000,,,400,TDD
n262,47200000,48200000,,,400,TDD
n263,57095000,70904600,,,2000,TDD
