Name,Down,Up
BS-1,11710230,11744730
BS-2,11729410,11763910
BS-3,11748590,11783090
BS-4,11767770,11802270
BS-5,11786950,11821450
BS-6,11806130,11840630
BS-7,11825310,11859810
BS-8,11844490,11878990
BS-9,11863670,11898170
BS-10,11882850,11917350
BS-11,11902030,11936530
BS-12,11921210,11955710
BS-13,11940390,11974890
BS-14,11959570,11994070
BS-15,11978750,12013250
BS-16,11997930,12032430
BS-17,12017110,12051610
BS-18,12036290,12070790
BS-19,12055470,12089970
BS-20,12074650,12109150
BS-21,12093830,12128330
BS-22,12113010,12147510
BS-23,1213219,1216669
BS-24,1215137,1218587
